Marca,Tipo,Modello,Memoria,Colore,Codice_PIM
Samsung,Smartphone,Galaxy Z Fold8,512GB,Cream,593096
Samsung,Smartphone,Galaxy Z Fold8,512GB,Graphite,593099
Samsung,Smartphone,Galaxy Z Fold8,512GB,Lavender,593102
Samsung,Smartphone,Galaxy Z Fold8 Ultra,1TB GB,Cream,593079
Samsung,Smartphone,Galaxy Z Fold8 Ultra,1TB GB,Graphite,593082
Samsung,Smartphone,Galaxy Z Fold8 Ultra,1TB GB,Violet Shadow,593087
Samsung,Smartphone,Galaxy Z Fold8 Ultra,256GB,Cream,593077
Samsung,Smartphone,Galaxy Z Fold8 Ultra,256GB,Graphite,593080
Samsung,Smartphone,Galaxy Z Fold8 Ultra,256GB,Violet Shadow,593084
Samsung,Smartphone,Galaxy Z Fold8 Ultra,512GB,Cream,593078
Samsung,Smartphone,Galaxy Z Fold8 Ultra,512GB,Graphite,593081
Samsung,Smartphone,Galaxy Z Fold8 Ultra,512GB,Violet Shadow,593086
OPPO,Smartphone,A6,256 GB,Black,561869
OPPO,Smartphone,A6,256 GB,Aurora Gold,561880
OPPO,Smartphone,A6 5G,256 GB,Black,561882
OPPO,Smartphone,A6 5G,256 GB,Aurora Gold,561884
OPPO,Smartphone,A6k,256 GB,Crystal Blue,561860
OPPO,Smartphone,A6k,256 GB,Crystal Black,561868
OPPO,Smartphone,A6x,128 GB,Ice Blue,561534
OPPO,Smartphone,A6x,128 GB,Black Purple,561530
OPPO,Smartphone,A6 Pro 5G,256 GB,White,530109
OPPO,Smartphone,Reno15 5G,512 GB,Aurora White,564912
OPPO,Smartphone,Reno15 5G,512 GB,Twilight Black,564896
OPPO,Smartphone,Reno15 F 5G,256 GB,Aurora Blue,564916
OPPO,Smartphone,Reno15 F 5G,256 GB,Twilight Black,564914
OPPO,Smartphone,Reno15 FS 5G,512 GB,Aurora Blue,564920
OPPO,Smartphone,Reno15 FS 5G,512 GB,Twilight Black,564919
OPPO,Smartphone,Reno15 Pro 5G,512 GB,Aurora Blue,564892
OPPO,Smartphone,Reno15 Pro 5G,512 GB,Dusk Black,564894
OPPO,Smartphone,Reno16 5G,512 GB,Black,588833
OPPO,Smartphone,Reno16 5G,512 GB,White,588747
OPPO,Smartphone,Reno16 FS 5G,512 GB,Black,588834
OPPO,Smartphone,Reno16 FS 5G,512 GB,White,588759
OPPO,Smartphone,Reno16 Pro 5G,512 GB,Black,588831
OPPO,Smartphone,Reno16 Pro 5G,512 GB,White,588743
OPPO,Smartphone,Find X9 Pro 5G,512 GB,Titanium Charcoal,548102
OPPO,Smartphone,Find X9 Ultra 5G,512 GB,Canyon Orange,580384
OPPO,Smartphone,Find X9 Ultra 5G,512 GB,Tundra Umber,580383
OPPO,Smartphone,Find X9 Ultra 5G Box,512 GB,Orange,580375
OPPO,Smartphone,Find X9 Ultra 5G Box,512 GB,Tundra Umber,580374
Xiaomi,Smartphone,Redmi A7 Pro,64 GB,Black,576413
Xiaomi,Smartphone,Redmi A7 Pro,64 GB,BLUE,576415
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,Black,576519
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,BLUE,576520
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,GREEN,576522
Xiaomi,Smartphone,Redmi 15C,128 GB,Black,467135
Xiaomi,Smartphone,Redmi 15C,128 GB,ORANGE,467137
Xiaomi,Smartphone,Redmi 15C,128 GB,BLUE,467138
Xiaomi,Smartphone,Redmi 15C,256 GB,Black,467151
Xiaomi,Smartphone,Redmi 15C,256 GB,GREEN,495999
Xiaomi,Smartphone,Redmi 15C,256 GB,ORANGE,496008
Xiaomi,Smartphone,Redmi 15C,256 GB,BLUE,496014
Xiaomi,Smartphone,Redmi 17,128 GB,Black,595175
Xiaomi,Smartphone,Redmi 17,128 GB,GREEN,595186
Xiaomi,Smartphone,Redmi 17,128 GB,BLUE,595184
Xiaomi,Smartphone,Redmi 17,256 GB,Black,595189
Xiaomi,Smartphone,Redmi 17,256 GB,BLUE,595190
Xiaomi,Smartphone,Redmi 17,256 GB,GREEN,595192
Xiaomi,Smartphone,Redmi Note 15,128 GB,Black,563288
Xiaomi,Smartphone,Redmi Note 15,128 GB,Glacier Blue,563385
Xiaomi,Smartphone,Redmi Note 15,256 GB,Black,557247
Xiaomi,Smartphone,Redmi Note 15,256 GB,Forest Green,557254
Xiaomi,Smartphone,Redmi Note 15 5G,256 GB,Black,557278
Xiaomi,Smartphone,Redmi Note 15 5G,256 GB,PURPLE,557285
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,Black,563382
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,PURPLE,564810
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,Glacier Blue,564805
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,Black,557260
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,Glacier Blue,557266
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,TITANIO,557262
Xiaomi,Smartphone,Redmi Note 15 Pro 5G,256 GB,BLACK,557269
Xiaomi,Smartphone,Redmi Note 15 Pro 5G,512 GB,BLACK,563254
Xiaomi,Smartphone,Redmi Note 15 Pro+ 5G,256 GB,BLACK,557274
Xiaomi,Smartphone,17,512 GB,Ice Blue,565472
Xiaomi,Smartphone,17,512 GB,Black,565448
Xiaomi,Smartphone,17T,256 GB,Black,582785
Xiaomi,Smartphone,17T,256 GB,Blu,582786
Xiaomi,Smartphone,17T,256 GB,Viola,582787
Xiaomi,Smartphone,17T,512 GB,Black,582797
Xiaomi,Smartphone,17T,512 GB,Blu,582788
Xiaomi,Smartphone,17T,512 GB,Viola,582799
Xiaomi,Smartphone,17T Pro,512 GB,Black,582767
Xiaomi,Smartphone,17T Pro,512 GB,Blu,582772
Xiaomi,Smartphone,17T Pro,512 GB,Violet,582757
Xiaomi,Smartphone,17 Ultra,512 GB,Black,565475
Xiaomi,Smartphone,17 Ultra,512 GB,Starlit Green,565476
Honor,Smartphone,X5c Plus,128 GB,Black,556863
Honor,Smartphone,X5c Plus,256 GB,Black,530364
Honor,Smartphone,X5c Plus,256 GB,CYAN,530367
Honor,Smartphone,400 Smart,128 GB,GOLD,521210
Honor,Smartphone,400 Smart,128 GB,Black,521209
Honor,Smartphone,400 Smart,8+256GB,Black,592000
Honor,Smartphone,400 Smart,8+256GB,GOLD,592001
Honor,Smartphone,400 Smart + cover + Choice X7 Lite,256 GB,GOLD,521216
Honor,Smartphone,400 Smart + cover + Choice X7 Lite,256 GB,Black,521214
Honor,Smartphone,400,512 GB,SILVER,559982
Honor,Smartphone,600 Smart,128 GB,Black,590563
Honor,Smartphone,600 Smart,128 GB,SILVER,590565
Honor,Smartphone,600 Smart,256 GB,Black,590573
Honor,Smartphone,600 Smart,256 GB,SILVER,590575
Honor,Smartphone,600 Lite + WATCH 2i,256 GB,Black,574056
Honor,Smartphone,600 Lite + WATCH 2i,256 GB,GREY,574062
Honor,Smartphone,600 Lite + WATCH 2i,256 GB,GREEN,574064
Honor,Smartphone,600 + WATCH 2i,256 GB,GOLD,578661
Honor,Smartphone,600 + WATCH 2i,256 GB,ORANGE,578662
Honor,Smartphone,600 + WATCH 2i,256 GB,Black,578659
Honor,Smartphone,600 + WATCH 2i,512 GB,Black,578668
Honor,Smartphone,600 + WATCH 2i,512 GB,GOLD,578669
Honor,Smartphone,600 + WATCH 2i,512 GB,ORANGE,578671
Honor,Smartphone,600 Pro,12+512GB,GOLD,578680
Honor,Smartphone,600 Pro,12+512GB,Nero,578677
Honor,Smartphone,Magic 6 Lite,512 GB,GREEN,399624
Honor,Smartphone,Magic 8 Lite + cover + Choice X7 Lite Earbuds,256 GB,Forest Green,559754
Honor,Smartphone,Magic 8 Lite + cover + Choice X7 Lite Earbuds,256 GB,Midnight Black,559753
Honor,Smartphone,Magic 8 Lite + cover + Super Charge 66W,512 GB,Forest Green,559759
Honor,Smartphone,Magic 8 Lite + cover + Super Charge 66W,512 GB,Midnight Black,559758
Honor,Smartphone,Magic V5,16+512GB,Black,498440
Honor,Smartphone,Magic V5,16+512GB,GOLD,498441
Honor,Smartphone,Magic V6,16+512 GB,Black,589408
Honor,Smartphone,Magic V6,16+512 GB,GOLD,589416
Motorola,Smartphone,Moto E15 4G,2+64GB,Lavanda,552227
Motorola,Smartphone,Moto G05,128 GB,RED,425247
Motorola,Smartphone,Moto G05,128 GB,GREEN,425245
Motorola,Smartphone,Moto G05,8+256 GB,Denim Blue,583022
Motorola,Smartphone,Moto G05,8+256 GB,Forest Green,583016
Motorola,Smartphone,MOTO G06,4+128 GB,Blu,553357
Motorola,Smartphone,MOTO G06,4+128 GB,GREEN,553364
Motorola,Smartphone,MOTO G06,4+256 GB,BLUE,553366
Motorola,Smartphone,MOTO G06,4+256 GB,GREEN,553369
Motorola,Smartphone,MOTO G06,4+256 GB,Arabesque,553365
Motorola,Smartphone,G15 POWER 8+512,512 GB,GREY,531135
Motorola,Smartphone,Moto G15,8+512GB,GREY,423937
Motorola,Smartphone,Moto G56 5G,8+256GB,Black,531445
Motorola,Smartphone,Moto g57 8+256,256 GB,PANTONE Corsair,564371
Motorola,Smartphone,Moto g57 8+256,256 GB,PANTONE Regatta,564385
Motorola,Smartphone,Moto g77 8+256,256 GB,Blu,564387
Motorola,Smartphone,Moto g77 8+256,256 GB,Black,564386
Motorola,Smartphone,Moto G86 5G,8+256GB,Viola,554536
Motorola,Smartphone,Moto G86 5G,8+256GB,Oro,554538
Motorola,Smartphone,Moto G87,8+256GB,BLUE,583297
Motorola,Smartphone,Moto G87,8+256GB,Black,583298
Motorola,Smartphone,Moto G56 5G,8+512GB,PANTONE Black Oyster,583133
Motorola,Smartphone,Moto G56 5G,8+512GB,PANTONE Gray Mist,583135
Motorola,Smartphone,EDGE 60 PRO 12+512,512 GB,BROWN,562333
Motorola,Smartphone,EDGE 60 PRO 12+512,512 GB,GREEN,562228
Motorola,Smartphone,Edge 70,512 GB,GREY,551614
Motorola,Smartphone,Edge 70,512 GB,Bronze Green,551615
Motorola,Smartphone,Edge 70,512 GB,Lily Pad,551616
Motorola,Smartphone,Signature 16+512,512 GB,PANTONE Carbon,564674
Motorola,Smartphone,Signature 16+512,512 GB,PANTONE Martini Olive,564679
Motorola,Smartphone,Razr 60 Ultra,512 GB,Scarab,425416
Motorola,Smartphone,Razr 70,8+256 GB,PANTONE Hematite,581423
Motorola,Smartphone,Razr 70,8+256 GB,PANTONE Sporting Green,581409
Motorola,Smartphone,razr 70 plus,12+512GB,PANTONE Mountain View,582408
Motorola,Smartphone,Razr Fold,16+512GB,PANTONE Blackened Blue,583137
Motorola,Smartphone,Razr Fold,16+512GB,PANTONE Lily White,583136
Google,Smartphone,Pixel 10,128 GB,Nero ossidiana,498198
Google,Smartphone,Pixel 10,256 GB,Nero ossidiana,498203
Google,Smartphone,Pixel 10,128 GB,Viola glicine,498189
Google,Smartphone,Pixel 10,128 GB,Blu indaco,498197
Google,Smartphone,Pixel 10,128 GB,Verde cedro,498193
Google,Smartphone,Pixel 10a,128 GB,Nero ossidiana,565937
Google,Smartphone,Pixel 10a,128 GB,Viola lavanda,565981
Google,Smartphone,Pixel 10a,128 GB,Grigio nebbia,565938
Google,Smartphone,Pixel 10a,256 GB,Viola lavanda,565991
Google,Smartphone,Pixel 10a,256 GB,Grigio nebbia,565990
ZTE,Smartphone,BLADE A35,64 GB,Black,454698
ZTE,Smartphone,BLADE A35,64 GB,GREEN,588166
ZTE,Smartphone,Blade A36,64 GB,Black,583221
ZTE,Smartphone,Blade A36,128 GB,Black,573903
ZTE,Smartphone,Blade A36,128 GB,GREEN,573918
ZTE,Smartphone,Blade A76 5G,128 GB,Black,462856
ZTE,Smartphone,BLADE V70 VITA,256 GB,DARK GREY,554216
ZTE,Smartphone,BLADE V70 VITA,256 GB,FOREST GREEN,425051
ZTE,Smartphone,V80 Max,128 GB,Black,576465
ZTE,Smartphone,V80 Max,128 GB,Silver,576473
ZTE,Smartphone,V80 Pro,256 GB,Black,575056
ZTE,Smartphone,NUBIA AIR,256 GB,Black,530222
ZTE,Smartphone,nubia Air Pro,512 GB,Black,577858
ZTE,Smartphone,nubia Air Pro,512 GB,White,578151
ZTE,Smartphone,nubia Neo 5 GT 5G,256 GB,Black,582706
